Sector,ConstantPrice,SharesinConstantPercent,CurrentPrice,SharesinCurrentPercent
 Agriculture Sector,2040079,16.38,3616523,20.19
"Agriculture,forestry & fishing",2040079,16.38,3616523,20.19
Construction,946396,7.6,1282048,7.16
"Electricity, gas, water supply & other utility services",306254,2.46,484477,2.7
"Financial, real estate & prof servs",2872815,23.07,3950786,22.05
Industry Sector,3654362,29.34,4644385,25.92
Manufacturing,2107068,16.92,2585740,14.43
Mining and quarrying,294644,2.37,292120,1.63
"Public Administration, defence and other services",1677786,13.47,2761996,15.42
Services Sector,6758989,54.27,9654259,53.89
"Trade, hotels, transport, communication and services related to broadcasting",2208388,17.73,2941477,16.42
